DATE,TEMP,DEWP,SLP,VISIB,WDSP,PRCP,COND
01/01/1973,13,37.1,1018.5,2.5,6.5,0,0
01/02/1973,12.72222222,34.8,1017.9,2.5,7.3,0,0
01/03/1973,13.66666667,34.7,1016,2.5,6.7,0,0
01/04/1973,15,39.2,1015.5,3,5.4,0,0
01/05/1973,16.22222222,43.9,1016.7,1.2,2.1,0,0
01/06/1973,18.66666667,51.8,1014.2,1.6,2.3,0,0
01/07/1973,16.44444444,46.1,1013.1,2.3,5.6,0,0
01/08/1973,15.83333333,41.5,1014.8,2.8,5.1,0,0
01/09/1973,13.88888889,39.4,1017,2.3,4.8,0,0
01/10/1973,12.44444444,40.5,1017.8,2,1.5,0,0
01/11/1973,16.55555556,49.5,1014.6,1.6,5.9,0,0
01/12/1973,15.77777778,48.7,1014.5,2.7,4.3,0,2
1-13-1973,13.61111111,42.3,1014.9,1.9,4.7,0,0
1-14-1973,12.16666667,38.3,1011.9,2.5,6.7,0,0
1-15-1973,14,40.5,1014.2,2.5,8,0,0
1-16-1973,14.33333333,38,1015.1,2.5,9.1,0,0
1-17-1973,15.88888889,45.3,1015.2,2.1,2.9,0,0
1-18-1973,17.16666667,50.7,1011.2,1.6,4.1,0,0
1-19-1973,16.94444444,54.7,1011.2,1.6,5.1,0,0
1-20-1973,16.83333333,58.4,1012.3,2,5.6,0,1
1-21-1973,13,44.9,1017.6,3,8.8,0,0
1-22-1973,11,37.4,1018.8,3.1,8.7,0,0
1-23-1973,12,40.3,1017.4,3,5.3,0,0
1-24-1973,12.55555556,40.5,1014.9,2.3,5.6,0,0
1-25-1973,13.44444444,39.2,1014.9,3.3,1.8,0,0
1-26-1973,13.27777778,38.7,1014.1,1.8,2.8,0,2
1-27-1973,12.27777778,37,1013.7,2.2,5.6,0,0
1-28-1973,11.55555556,40,1020.7,2.7,6.5,0,0
1-29-1973,11.16666667,39.7,1021.4,2.3,3.6,0,0
1-30-1973,13.33333333,40.1,1020.2,1.6,1.9,0,0
1-31-1973,13.33333333,40.1,1020.2,1.6,1.9,0,0
02/01/1973,13.16666667,40.2,1020.8,1.6,1,0,2
02/02/1973,14.55555556,41,1018.7,2,1.2,0,0
02/03/1973,15.44444444,42.2,1020.3,6.8,1.4,0,0
02/04/1973,16,44.6,1020.4,2,2.6,0,0
02/05/1973,16,36.2,1020.1,3.7,7.9,0,0
02/06/1973,15.27777778,38.9,1019.7,2.5,5.8,0,0
02/07/1973,17.11111111,43.9,1014.6,2.7,6.5,0,1
02/08/1973,15.22222222,50.4,1016.1,1.9,6.7,0,0
02/09/1973,16.5,51.2,1019,3.2,1,0,0
02/10/1973,18.38888889,48.2,1017,3.2,9.1,0,0
02/11/1973,17.66666667,48.2,1017.1,2.3,3.8,0,0
02/12/1973,17.77777778,50.7,1015.4,3,3.3,0,0
2-13-1973,19.38888889,50.7,1013.4,3.7,3.3,0,0
2-14-1973,19.16666667,54.2,1010.4,1.1,1,0,0
2-15-1973,19.16666667,52.1,1009.8,2.2,2.2,0,2
2-16-1973,20.16666667,50,1010.4,3.7,3.1,0,0
2-17-1973,21.38888889,52.2,1012.6,2.7,5.3,0,0
2-18-1973,20.44444444,46.7,1013.3,2.5,6.9,0,0
2-19-1973,20.72222222,48.7,1012.7,2.3,3.8,0,0
2-20-1973,21.27777778,50,1012.9,3,4.6,0,0
2-21-1973,20,48.2,1013.5,3.6,3.8,0,0
2-22-1973,21.16666667,50.5,1015.6,1.9,1.5,0,0
2-23-1973,22.83333333,53.9,1014.5,2.5,3.2,0,0
2-24-1973,22.83333333,53.9,1014.5,2.5,3.2,0,0
2-25-1973,22.16666667,57.2,1007.2,2,7.2,0,1
2-26-1973,21.61111111,52.5,1005.9,2.5,2.3,0,0
2-27-1973,18.77777778,54.3,1004.6,2.5,6.1,0,0
2-28-1973,18.16666667,53.3,1012,3.6,2.9,0,0
03/01/1973,21.22222222,49.5,1012.8,3.7,1.7,0,0
03/02/1973,20.55555556,48.5,1013.7,2.5,2.6,0,0
03/03/1973,20.66666667,47,1014.3,3.4,3.9,0,0
03/04/1973,19.16666667,46.4,1013.8,2.5,4,0,0
03/05/1973,19.88888889,49.1,1011.4,2.3,4.6,0,1
03/06/1973,20.77777778,54.1,1010,2.5,4.9,0,0
03/07/1973,20,52.9,1011.4,2.3,2.1,0,1
03/08/1973,20.72222222,52.8,1009.4,2.5,9.6,0,1
03/09/1973,21.66666667,56.6,1009.2,2.5,8.2,0,0
03/10/1973,26,50.6,1008,2.5,9,0,0
03/11/1973,19,32.5,1012.3,0.9,6.2,0,0
03/12/1973,16.55555556,34.1,1015.2,2.8,7.5,0,1
3-13-1973,17.44444444,36.9,1014.9,3.6,10.5,0,0
3-14-1973,18.55555556,37.9,1016.2,2.5,8.4,0,0
3-15-1973,20.27777778,40.2,1016,3.6,8.2,0,0
3-16-1973,22.55555556,39.7,1013.6,2.5,9.1,0,1
3-17-1973,22,43.6,1012.9,2.1,5.2,0,0
3-18-1973,23.83333333,47.7,1015,2.3,0.7,0,0
3-19-1973,23.55555556,47.9,1013.9,2.5,6.3,0,0
3-20-1973,24.27777778,48.7,1011.5,2.5,6.4,0,0
3-21-1973,24.83333333,41.5,1014.6,3.6,8.9,0,0
3-22-1973,23.16666667,44,1013.3,2.5,8.9,0,0
3-23-1973,23,41.5,1013.4,3.6,7.4,0,0
3-24-1973,25.72222222,43.1,1013,4.1,4.9,0,0
3-25-1973,26.72222222,52.1,1013.7,3.8,1.7,0,0
3-26-1973,28.05555556,52.1,1013.7,3.8,1.7,0,0
3-27-1973,28.83333333,52.1,1008.5,2.2,2.5,0,0
3-28-1973,30.27777778,50.6,1006.3,2.3,2.4,0,0
3-29-1973,30.72222222,46.4,1007.9,2.8,5.8,0,0
3-30-1973,29.11111111,54.5,1006.9,1.7,1,0,0
3-31-1973,27.55555556,54.4,1007.7,1.5,4.8,0,0
04/01/1973,27,47.7,1010.1,3,10.8,0,0
04/02/1973,24.72222222,38.2,1007.8,3.6,7.1,0,0
04/03/1973,27.44444444,43.1,1008.3,3,6.6,0,0
04/04/1973,29.55555556,43.8,1006.9,6.7,1.8,0,0
04/05/1973,31.72222222,43.7,1005.6,2.2,5.1,0,1
04/06/1973,30.16666667,54.2,1008.2,2.3,4.3,0,0
04/07/1973,30.83333333,45.6,1005.6,2.5,8.2,0,0
04/08/1973,27,48.2,1007.7,3.4,12.4,0,0
04/09/1973,29.44444444,49.2,1006.2,3,10.2,0,0
04/10/1973,30.55555556,52.1,1003.7,3.6,8.9,0,0
04/11/1973,32.38888889,55,1001.8,2.5,4.6,0,0
04/12/1973,33.33333333,50.6,1002.3,3.5,6.7,0,0
4-13-1973,33.77777778,52.5,1001.2,2.3,2.5,0,0
4-14-1973,34.27777778,41.5,1001.1,1.5,10.4,0,0
4-15-1973,30.16666667,42,1002.6,2.1,3.5,0,0
4-16-1973,27.61111111,43.9,1007.4,2,4.9,0,0
4-17-1973,28.16666667,47.4,1009.1,2.5,9.5,0,0
4-18-1973,31,47.6,1004.9,2.5,9.7,0,0
4-19-1973,31.44444444,52.8,1004.2,2.5,9.3,0,0
4-20-1973,33.33333333,53,1002.8,2.5,7.9,0,0
4-21-1973,31.72222222,55.1,1002.2,3.6,5.9,0,0
4-22-1973,31.72222222,55.1,1002.2,3.6,5.9,0,0
4-23-1973,33,57,1001.2,2.5,1.6,0,0
4-24-1973,34.83333333,54.4,1001.8,2.5,3.8,0,0
4-25-1973,34.72222222,48.5,1003.4,2.3,4.5,0,0
4-26-1973,34.72222222,51.8,1003,1.7,0.3,0,0
4-27-1973,34.61111111,53.8,1000.4,2.5,4.2,0,0
4-28-1973,34.27777778,58.5,999.2,2.1,7.2,0,1
4-29-1973,31.44444444,47.6,1003.1,3,4.1,0,0
4-30-1973,31.44444444,47.6,1003.1,3,4.1,0,0
05/01/1973,37,29.9,999.4,2.5,6.4,0,0
05/02/1973,32.33333333,60.5,1000.5,2.1,7.1,0,1
05/03/1973,34.27777778,58.7,1001.4,2.5,3.3,0,0
05/04/1973,34.33333333,65,1002.2,1.6,2.1,0,0
05/05/1973,36,50.9,1003.6,2.5,3.7,0,0
05/06/1973,36.77777778,54.9,1000.1,3.4,5.4,0,0
05/07/1973,38,57.2,998.2,2.5,7.2,0,0
05/08/1973,36.38888889,45.3,995.3,2.8,4.2,0,0
05/09/1973,38.16666667,36.2,993,2.1,4.6,0,0
05/10/1973,36.61111111,28.9,996.8,0.7,5.4,0,0
05/11/1973,34.5,43.1,1000.6,1.3,1.5,0,0
05/12/1973,33.72222222,37.7,1000.8,2.1,1.3,0,0
5-13-1973,32.5,46.1,998.4,2.1,6.3,0,0
5-14-1973,31.22222222,64.4,999.4,1.1,6.1,0,0
5-15-1973,29.11111111,68.2,1001.2,1.1,2.2,0,0
5-16-1973,26.5,67.4,1002,1.3,10.4,0,0
5-17-1973,26.83333333,61.3,1004.5,2.5,3.9,0,0
